YEAR,ID,MARITAL,AGE,EDUC,DEGREE,SEX,RACE,RACECEN1,RACECEN2,RACECEN3,COHORT,ZODIAC,DIVORCE,WIDOWED,SIBS,CHILDS,AGEKDBRN,HOMPOP,BABIES,PRETEEN,TEENS,ADULTS,UNRELAT,HHTYPE1,PRESTG80,SPPRES80,INCOME06,RINCOM06,SATFIN,WRKSTAT,HRS1,WRKSLF,PARTFULL,SPWRKSTA,SPHRS1,DWELOWN,SEI,SPSEI,MASEI,PASEI,HAPMAR,EVSTRAY,DIVLAW,AGED,SPANKING,ABANY,ABDEFCTW,ABDEFECT,ABHLTH,ABNOMORE,ABPOOR,ABPOORW,ABRAPE,MARHOMO,HAPPY,FATALISM,HEALTH,LIFE,LETDIE1,OWNGUN,HUNT,NEWS,TVHOURS,GETAHEAD,RICHWORK,RACDIF1,RACDIF2,RACDIF3,RACDIF4,FEAR,PARTYID,POLVIEWS,NATENVIR,NATHEAL,NATCRIME,NATEDUC,NATARMS,NATAID,NATFARE,NATSOC,NATCHLD,NATSCI,NATFAREY,CAPPUN,GUNLAW,COURTS,GRASS,AFFRMACT,WRKWAYUP,WORKWHTS,WORKBLKS,INTLWHTS,INTLBLKS,DISCAFF,FEJOBAFF,DISCAFFM,DISCAFFW,INCGAP,TAXRICH,RELIG,DENOM,FUND,ATTEND,RELITEN,POSTLIFE,PRAY,REBORN,RELEXP,SEXEDUC,PREMARSX,TEENSEX,XMARSEX,HOMOSEX,PORNLAW,XMOVIE,PARTNERS,SEXFREQ,NUMWOMEN,NUMMEN,SEXORNT,FECHLD,FEPRESCH,FEFAM,MEOVRWRK
2008,1,2,49,12,1,1,3,16,0,0,1959,1,1,7,0,5,20,2,0,0,1,1,0,2,22,0,7,0,3,8,-1,2,0,0,-1,2,28.4,-1,33.1,28.4,0,1,1,1,4,7,4,7,7,7,7,4,7,0,3,5,0,0,1,7,0,1,8,0,7,1,0,0,0,7,0,2,1,1,1,1,1,3,2,1,1,1,0,1,7,3,0,4,1,2,3,5,5,0,1,3,0,0,0,2,0,2,2,1,0,1,1,1,1,4,1,0,0,2,1,0,0,100,0,3,2,3,2,3
2008,2,1,48,20,4,1,3,2,0,0,1960,12,0,0,1,2,33,1,0,0,0,1,-1,4,65,43,23,21,2,1,40,2,1,1,35,2,76.4,63.2,27.5,-1,3,0,1,0,4,1,0,1,1,0,0,0,1,1,2,0,1,1,1,0,4,1,1,1,1,0,0,0,1,0,3,4,1,2,1,1,1,3,2,2,2,2,0,0,1,2,7,4,4,4,4,4,4,3,3,2,0,0,0,1,50,3,0,2,0,6,0,0,1,4,3,3,4,0,7,1,5,20,0,3,2,3,3,2
2008,3,1,47,13,1,1,2,2,0,0,1961,1,1,0,1,1,22,2,0,0,0,2,0,1,50,0,18,18,2,1,35,2,1,6,-1,2,37.8,-1,38,-1,1,9,1,2,1,7,4,7,7,7,7,4,7,0,2,1,0,0,1,7,0,2,2,0,9,0,0,1,0,7,0,4,1,1,1,1,2,3,1,1,1,2,0,0,7,2,1,2,3,3,2,4,4,0,3,2,0,0,0,4,0,3,0,4,0,6,0,0,1,1,1,0,0,2,0,1,6,100,0,3,2,3,3,2
2008,4,3,32,10,1,1,2,2,0,0,1976,2,7,0,2,1,26,3,0,0,0,3,1,3,36,0,17,11,3,4,-1,2,1,0,-1,0,35.1,-1,37.7,-1,0,1,0,2,0,1,4,1,1,1,0,1,1,1,3,4,2,1,7,0,4,0,-1,2,1,7,7,7,7,1,0,4,1,1,1,1,1,1,2,1,1,2,0,0,1,2,1,0,0,0,0,0,0,3,0,0,0,1,5,1,18,1,3,1,1,4,1,1,7,0,0,1,2,2,1,2,5,7,0,3,0,0,0,0
2008,5,4,37,12,1,2,2,2,0,0,1971,10,7,0,2,2,32,3,2,0,0,1,0,2,42,0,16,16,2,1,43,2,1,0,-1,1,29.3,-1,25.5,34.3,0,0,3,0,2,1,0,1,1,1,1,0,1,1,2,0,2,2,1,0,4,3,4,1,1,0,0,0,1,0,2,2,1,1,1,2,3,2,1,1,1,3,0,1,1,2,7,4,1,3,6,3,6,2,4,2,0,0,0,1,18,1,2,3,0,3,1,1,1,3,1,1,1,0,7,3,3,0,8,3,2,2,3,2
2008,6,1,72,16,3,1,2,2,0,0,1936,99,0,0,3,2,25,2,0,0,0,2,0,1,71,64,98,0,2,5,-1,2,0,5,-1,1,87.9,78.5,-1,36.4,2,7,3,1,2,7,8,7,7,7,7,8,7,0,1,2,0,0,8,7,0,1,2,0,7,1,0,1,1,7,2,4,2,1,8,1,3,8,2,2,1,2,0,1,7,8,1,1,3,4,4,4,4,0,1,3,0,0,0,2,0,2,4,2,1,4,0,0,8,4,3,0,0,2,1,-1,-1,-1,-1,0,1,2,3,5
2008,7,5,21,12,1,2,2,2,0,0,1987,8,7,7,2,0,0,5,1,0,0,4,0,11,29,0,98,0,1,2,40,2,2,0,-1,0,33.1,-1,29.3,28.6,0,7,0,3,0,0,3,0,0,0,0,1,0,8,2,4,1,1,7,0,4,0,-1,1,1,7,7,7,7,0,3,3,3,3,1,2,2,1,3,1,1,3,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,8,1,2,0,2,2,1,1,3,0,1,7,0,0,3,2,2,0,1,1,0,2,3,0,0,0,0
2008,8,5,36,12,1,2,2,2,0,0,1972,9,7,7,6,1,21,5,1,1,0,3,0,13,65,0,98,98,1,1,30,2,1,0,-1,2,76.4,-1,-1,37.3,0,7,1,3,1,7,4,7,7,7,7,4,7,0,1,2,0,0,1,7,0,1,2,0,9,0,0,0,1,7,2,3,2,2,2,2,3,2,3,1,1,1,0,0,7,2,1,1,1,1,2,1,1,0,2,1,0,0,0,4,0,3,4,4,1,2,1,0,0,3,1,0,0,2,0,1,9,0,998,3,1,1,1,1
2008,9,2,48,14,1,2,2,2,0,0,1960,99,0,7,3,1,27,1,0,0,0,1,-1,4,57,0,98,98,3,1,40,2,1,0,-1,2,80.9,-1,-1,37.3,0,9,1,0,1,8,0,1,8,8,8,0,1,3,3,0,2,8,0,0,4,1,2,2,0,1,0,1,1,1,3,2,1,1,1,1,8,3,3,1,1,1,0,1,1,3,7,1,2,4,4,4,4,1,1,4,0,0,0,2,0,2,6,2,1,2,0,0,1,2,1,1,8,0,7,1,0,999,999,3,1,3,2,1
2008,10,3,56,9,0,2,2,2,15,0,1952,2,7,0,12,1,17,1,0,0,0,1,-1,4,51,0,98,0,2,8,-1,2,0,0,-1,0,36.5,-1,-1,72,0,0,0,3,0,0,1,0,0,0,0,1,0,3,3,2,3,2,7,0,4,0,-1,1,7,7,7,7,7,0,0,4,1,1,1,1,8,1,8,1,1,1,0,1,8,3,8,0,0,0,0,0,0,2,0,0,0,2,1,1,60,2,0,2,1,2,1,0,7,0,0,9,8,2,0,1,2,0,998,3,0,0,0,0
